,id,fullName,shortName,city,country,longitude,latitude
87,92,Wellington Regional Stadium,Wellington Regional Stadium,Wellington,New Zealand,,
88,93,Saxton Oval,Saxton Oval,Nelson,New Zealand,,
89,94,University Oval,University Oval,Dunedin,New Zealand,,
90,95,Seddon Park,Seddon Park,Hamilton,New Zealand,,
91,96,Bert Sutcliffe Oval,Bert Sutcliffe Oval,Christchurch,New Zealand,,
92,97,Blacktown Oval,Blacktown,Sydney,Australia,,
93,98,North Sydney Oval,North Sydney,Sydney,Australia,,
94,99,Providence Stadium,Providence Stadium,Providence,West Indies,,
95,100,Daren Sammy National Cricket Stadium,Daren Sammy National Cricket Stadium,Gros Islet,West Indies,,
96,101,Arnos Vale Ground,Arnos Vale Ground,Kingstown,West Indies,,
97,102,Zayed Cricket Stadium,Zayed Cricket Stadium,Abu Dhabi,UAE,,
98,104,Sharjah Cricket Stadium,Sharjah Cricket Stadium,Sharjah,UAE,,
99,105,FB Fields,FB Fields,St Clement,Jersey,,
0,106,Grainville,Grainville,St Saviour,Jersey,,
1,107,Les Quennevais,Les Quennevais,St Brelade,Jersey,,
2,108,Farmers Cricket Club Ground,Farmers Cricket Club Ground,St Martin,Jersey,,
3,109,The Vineyard,The Vineyard,Dublin,Ireland,,
4,110,YMCA Cricket Club,YMCA Cricket Club,Dublin,Ireland,,
5,112,Malahide,Malahide,Dublin,Ireland,,
6,113,Basin Reserve,Basin Reserve,Wellington,New Zealand,,
7,114,John Davies Oval,John Davies Oval,Queenstown,New Zealand,,
8,115,Westpac Stadium,Westpac Stadium,Wellington,New Zealand,,
9,116,ICC Academy Oval 1,ICC Academy Oval 1,Dubai,UAE,,
10,117,Civil Service Cricket Club,Civil Service Cricket Club,Belfast,Northern Ireland,,
11,118,Abu Dhabi Oval 1,Abu Dhabi Oval 1,Abu Dhabi,UAE,,
12,119,Abu Dhabi Oval 2,Abu Dhabi Oval 2,Abu Dhabi,UAE,,
13,120,ICC Academy Oval 2,ICC Academy Oval 2,Dubai,UAE,,
14,122,Zahur Ahmed Chowdhury Stadium,Zahur Ahmed Chowdhury Stadium,Chittagong,Bangladesh,,
15,123,Sher-e-Bangla National Cricket Stadium,Sher-e-Bangla National Cricket Stadium,Mirpur,Bangladesh,,
16,124,Khan Shaheb Osman Ali Stadium,Khan Shaheb Osman Ali Stadium,Fatullah,Bangladesh,,
17,125,Sylhet International Cricket Stadium,Sylhet International Cricket Stadium,Sylhet,Bangladesh,,
18,126,Rangiri Dambulla International Stadium,Rangiri Dambulla International Stadium,Dambulla,Sri Lanka,,
19,127,duplicate4,duplicate4,duplicate4,duplicate4,,
20,128,ICC Academy,ICC Academy,Dubai,UAE,,
21,129,Bangladesh Krira Shikkha Prothisthan,BKSP,Savar,Bangladesh,,
