,id,fullName,shortName,city,country,longitude,latitude
31,845,Dr. Y.S. Rajasekhara Reddy ACA VDCA Cricket Stadium,ACA-VDCA Cricket Stadium,Vizag,India,,
32,846,JKC college ground,JKC college ground,Guntur,India,,
33,847,SERSA Stadium,SERSA Stadium,Kharagpur,India,,
34,848,Indore Nehru Stadium,Indore Nehru Stadium,Indore,India,,
35,849,Dr DY Patil Sports Academy,Dr DY Patil Sports Academy,Mumbai,India,,
36,850,Sardar Vallabhai Patel Stadium,Sardar Vallabhai Patel Stadium,Ahmedabad,India,,
37,851,Sardar Patel 'B' Stadium,Sardar Patel 'B' Stadium,Ahmedabad,India,,
38,852,Nahar Singh Stadium,Nahar Singh Stadium,Faridabad,India,,
39,853,Nehru Stadium,Nehru Stadium,Guwahati,India,,
40,854,Vizzy Stadium,Vizzy Stadium,Vizianagaram,India,,
41,855,J and J College Ground,J and J College Ground,Nadiad,India,,
42,856,Khandhari Stadium,Khandhari Stadium,Rajkot,India,,
43,857,Gymkhana Ground,Gymkhana Ground,Secunderabad,India,,
44,858,Conor Vayal Stadium,Conor Vayal Stadium,Thalassery,India,,
45,859,Fort Maidan,Fort Maidan,Palakkad,India,,
46,860,Bengal Cricket Academy Ground,Bengal Cricket Academy Ground,Kolkata,India,,
47,861,Motera B Ground,Motera B Ground,Ahmedabad,India,,
48,862,Motera C Ground,Motera C Ground,Ahmedabad,India,,
49,863,Motera A Ground,Motera A Ground,Ahmedabad,India,,
50,864,Sector 01 Ground,Sector 01 Ground,Bhilai,India,,
51,865,SJCE Ground,SJCE Ground,Mysore,India,,
52,866,Saurashtra University Cricket Ground,Saurashtra University Cricket Ground,Rajkot,India,,
53,867,Roshnara Club Ground,Roshnara Club Ground,New Delhi,India,,
54,868,Hindustan Zinc Limited Grounds,Hindustan Zinc Limited Grounds,Vizag,India,,
55,869,Deereka Stadium,Deereka Stadium,Varanasi,India,,
56,870,Maharaja Bir Bikram College Stadium,Maharaja Bir Bikram College Stadium,Agartala,India,,
57,871,Neerja Modi School Ground,Neerja Modi School Ground,Jaipur,India,,
58,872,"Jawaharlal Nehru Stadium, Jealgora",Jawaharlal Nehru Stadium,Dhanbad,India,,
59,873,ECIL Ground,ECIL Ground,Hyderabad,India,,
60,874,Alembic 1 Cricket Ground,Alembic 1 Cricket Ground,Vadodara,India,,
61,875,Aamarakoot Cricket Ground,Aamarakoot Cricket Ground,Indore,India,,
62,876,Eastern Railway Sports Complex,Eastern Railway Sports Complex,Kolkata,India,,
63,877,Deshbandhu Park Ground,Deshbandhu Park Ground,Kolkata,India,,
64,878,Alur Cricket Stadium,Alur Cricket Stadium,Bangalore,India,,
65,879,Railway Stadium,Railway Stadium,Bhubaneshwar,India,,
66,880,Babu Banarsi Das Stadium,Babu Banarsi Das Stadium,Lucknow,India,,
67,881,Golaghat DSA Ground,Golaghat DSA Ground,Golaghat,India,,
68,882,MECON Stadium,MECON Stadium,Ranchi,India,,
69,883,KDCA Nadiad,KDCA Nadiad,Ahmedabad,India,,
70,884,Bidanasi Ground,Bidanasi Ground,Cuttack,India,,
71,885,Vijayanand Ground,Vijayanand Ground,Hyderabad,India,,
72,886,DMRC Ground,DMRC Ground,Hyderabad,India,,
73,887,"Airforce Complex Ground, Palam II","Airforce Complex Ground, Palam II",New Delhi Services,India,,
74,888,Alur Cricket Stadium II,Alur Cricket Stadium II,Bangalore,India,,
75,889,Bharat Nagar,Bharat Nagar,New Delhi,India,,
76,890,IIT Chemplast,IIT Chemplast,Chennai,India,,
77,891,Jamia Milia Islamia,Jamia Milia Islamia,New Delhi,India,,
78,892,TBD,TBD,Goa,India,,
79,893,TBD,TBD,North East,India,,
80,894,Shivaji College Ground,Shivaji College Ground,New Delhi,India,,
81,895,ICL Sankar Nagar Cricket Ground,ICL Sankar Nagar Cricket Ground,Thirunelveli,India,,
82,896,Reliance Cricket Ground,Reliance Cricket Ground,Nagothane,India,,
83,897,TBD,TBD,Patna,India,,
84,898,TBD,TBD,Dimapur,India,,
85,899,TBD,TBD,Shillong,India,,
86,900,KSCA 2,KSCA 2,Shimoga,India,,
87,901,TBD,TBD,Trivandrum,India,,
88,902,TBD,TBD,Chennai,India,,
89,903,TBD,TBD,Nagpur,India,,
90,904,TBD,TBD,New Delhi,India,,
91,905,TBD,TBD,Aurangabad,India,,
92,906,Urja Stadium,Urja Stadium,Patna,India,,
93,907,TBD,TBD,Bilaspur - HPCA,India,,
94,908,TBD,TBD,Ananthapur,India,,
95,909,C K Pithawala Ground,C K Pithawala Ground,Surat,India,,
96,910,Alotgre Cricket Field,Alotgre Cricket Field,Tura,India,,
97,911,Goalpara Salmara Ground,Goalpara Salmara Ground,Goalpara,India,,
98,912,Nagaland Cricket Stadium,Nagaland Cricket Stadium,Golaghat,India,,
99,913,Sri Ramachandra Medical College,Sri Ramachandra Medical College,Chennai,India,,
0,914,TBD,TBD,Rae Bareli,India,,
1,915,TBD,TBD,Tiruppur,India,,
2,916,TBD,TBD,Jorhat,India,,
3,917,TBD,TBD,Goalpara,India,,
4,918,TBD,TBD,Gwalior,India,,
5,919,ASA Stadium,ASA Stadium,Ananthapur,India,,
6,920,Pet Ksca Stadium,Pet Ksca Stadium,Mandya,India,,
7,921,Ganotri Glades,Ganotri Glades,Mysore,India,,
8,922,Gautam Buddha University Ground,Gautam Buddha University Ground,Greater Noida,India,,
9,923,Indira Gandhi Stadium,Indira Gandhi Stadium,Vijayawada,India,,
10,924,Ravenshaw University Ground 2,Ravenshaw University Ground 2,Cuttack,India,,
11,925,Arlem Cricket Ground,Arlem Cricket Ground,Margao,India,,
12,926,TBD,TBD,Meerut,India,,
13,927,Country Cricket Stadium Gharota,Country Cricket Stadium Gharota,Jammu,India,,
14,928,TBD,TBD,Balurghat,India,,
15,929,SGSA Cricket Ground,SGSA Cricket Ground,Vadodara,India,,
16,930,Gujarat Refinery Cricket Ground,Gujarat Refinery Cricket Ground,Vadodara,India,,
17,931,SelaQui International School,SelaQui International School,Dehradun,India,,
18,932,ITM University,ITM University,Gwalior,India,,
19,933,Dr Babasaheb Ambedkar Stadium,Dr Babasaheb Ambedkar Stadium,Baramati,India,,
20,934,TBD,TBD,Kharagpur,India,,
21,935,Gyankalash Cricket Ground,Gyankalash Cricket Ground,Saharanpur,India,,
22,936,Reliance Ground,Reliance Ground,Navi Mumbai,India,,
23,937,Salem Cricket Foundation Ground,Salem Cricket Foundation Ground,Salem,India,,
24,938,TBD,TBD,Coimbatore,India,,
25,939,TBD,TBD,Secunderabad,India,,
26,940,TBD,TBD,Bardez,India,,
27,941,TBD,TBD,Kota,India,,
28,942,Al Amerat Cricket Ground 2,Al Amerat Cricket Ground 2,Al Amerat,Oman,,
29,943,Los Reyes Polo Club,Los Reyes Polo Club,Alajuela,Costa Rica,,
30,944,Falkland Cricket Club,Falkland Cricket Club,Newbury,England,,
31,945,Boscawen Park,Boscawen Park,Truro,England,,
32,946,Copdock and Old Ipswichian Cricket Club,Copdock and Old Ipswichian Cricket Club,Copdock,England,,
33,947,Eastnor Cricket Club,Eastnor Cricket Club,Ledbury,England,,
34,948,Knypersley Cricket Club,Knypersley Cricket Club,Knypersley,England,,
