,id,fullName,shortName,abbreviation,type,primaryColor,secondaryColor
0,1,Chennai Super Kings,Super Kings,CSK,m,FDB913,0081E5
1,2,Deccan Chargers,Deccan,DEC,m,65727A,FFFFFF
2,3,Delhi Capitals,Delhi,DC,m,004C93,F83430
3,4,Kings XI Punjab,Kings XI,KXIP,m,DA1F3D,FFFFFF
4,5,Kolkata Knight Riders,Knight Riders,KKR,m,6F2C91,FFFFFF
5,6,Mumbai Indians,Mumbai,MI,m,00AEEF,FFFFFF
6,7,Pune Warriors India,Warriors,PWI,m,00719E,FFFFFF
7,8,Rajasthan Royals,Royals,RR,m,004B8C,FFFFFF
8,9,Royal Challengers Bangalore,Challengers,RCB,m,000000,FF3245
9,10,Kochi Tuskers Kerala,Tuskers,KTK,,FF9F00,FFFFFF
10,11,England,England,ENG,m,04064D,FE1448
11,12,Ireland,Ireland,IRE,m,000066,81E13A
12,13,Sri Lanka,Sri Lanka,SL,m,1B2E96,FFC500
13,14,India,India,IND,m,0057AF,FF5500
14,15,Australia,Australia,AUS,m,0B661E,FFD500
15,16,New Zealand,New Zealand,NZ,m,1F1F1F,E8EBED
16,17,Afghanistan,Afghanistan,AFG,m,0954AF,FC0011
17,18,Zimbabwe,Zimbabwe,ZIM,m,CD151C,F8B526
18,19,South Africa,South Africa,SA,m,0B5425,F5AB00
19,20,Pakistan,Pakistan,PAK,m,206500,70E101
20,21,West Indies,West Indies,WI,m,7D1041,E2DA14
21,22,Bangladesh,Bangladesh,BAN,m,00644C,F91A22
22,23,Sri Lanka A,Sri Lanka A,SLA,m,02ABDC,737D1D
23,24,Sri Lanka Women,Sri Lanka ,SLw,w,02ABDC,737D1D
24,25,South Africa Women,South Africa ,SAw,w,0B5425,F5AB00
25,26,New Zealand Women,New Zealand,NZw,w,1F1F1F,E8EBED
26,27,West Indies Women,West Indies,WIw,w,7D1041,E2DA14
27,28,England Women,England,ENGw,w,04064D,FE1448
28,29,Pakistan Women,Pakistan ,PAKw,w,206500,70E101
29,30,Australia Women,Australia,AUSw,w,0B661E,FFD500
30,31,India Women,India ,INDw,w,0057AF,FF5500
31,32,Cape Cobras,Cobras,COB,m,495793,FFFFFF
32,33,New South Wales Blues,NSW Blues,NSW,m,A3C8DD,FFFFFF
33,34,Diamond Eagles,Eagles,DE,m,66FF00,FFFFFF
34,35,Victorian Bushrangers,Bushrangers,VB,m,FFD339,FFFFFF
35,36,Otago Volts,Volts,OT,m,6612D9,FFFFFF
36,37,Somerset,Somerset,SOM,m,922D46,FFFFFF
37,38,Sussex Sharks,Sharks,SS,m,588EB4,FFFFFF
38,39,Wayamba Elevens,Wayamba,WE,m,20A23E,FFFFFF
39,40,Trinidad & Tobago,T&T,T&T,m,D23A58,FFFFFF
40,41,Highveld Lions,Lions,HL,m,64FFFF,FFFFFF
41,42,Warriors,Warriors,WAR,m,9ECA40,FFFFFF
42,43,Central Districts Stags,Stags,CS,m,00FF00,FFFFFF
43,44,South Australian Redbacks,Redbacks,SAR,m,D43032,FFFFFF
44,45,Guyana,Guyana,GUY,m,64FF64,FFFFFF
45,46,Ruhunu Eleven,Ruhunu,RUE,m,E2343A,FFFFFF
46,47,Auckland Aces,Aces,AA,m,4E9FD3,FFFFFF
47,48,Leicestershire Foxes,Leicestershire,LEI,m,0057B1,FFFFFF
48,49,Hampshire,Hampshire,HAM,m,FFFFFF,FFFFFF
49,50,Perth Scorchers,Scorchers,PER,m,FF9400,FFFFFF
50,51,Sialkot Stallions,Stallions,SIA,m,FFFFFF,FFFFFF
51,52,Sydney Sixers,Sixers,SYD,m,97046E,FFFFFF
52,53,Titans,Titans,TTN,m,FFFFFF,FFFFFF
53,54,Uva Next,Uva,UVA,m,,
54,55,Yorkshire,Yorkshire,YOR,m,FFFFFF,FFFFFF
55,56,Adelaide Strikers,Strikers,AS,m,009EDB,FFFFFF
56,57,Brisbane Heat,Brisbane,BRI,m,03A1AC,FFFFFF
57,58,Hobart Hurricanes,Hurricanes,HOB,m,712CB9,FFFFFF
58,59,Melbourne Renegades,Renegades,MR,m,E50126,FFFFFF
59,60,Melbourne Stars,Stars,MS,m,39912B,FFFFFF
60,61,Sydney Thunder,Thunder,ST,m,FFFFFF,FFFFFF
61,62,Sunrisers Hyderabad,Sunrisers,SRH,m,FF9C00,FFFFFF
62,63,Mumbai Combined XI,Mumbai XI,MXI,w,FFFFFF,FFFFFF
63,64,Odisha XI,Odisha,OXI,w,FFFFFF,FFFFFF
